"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_049: Test post /V7/Binder/GetBinderAuditLog","1183","TC_049: POST /V7/Binder/GetBinderAuditLog","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_042: Test post /V7/Binder/UploadBinderDocuments","1092","TC_042: POST /V7/Binder/UploadBinderDocuments","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_085: Test post /V5.0/TaxCaddyAPI/CreateDrl","1214","TC_085: POST /V5.0/TaxCaddyAPI/CreateDrl","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_059: Test post /V5.0/Lookup/ServiceTypes","1175","TC_059: POST /V5.0/Lookup/ServiceTypes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_063: Test post /V5.0/Lookup/BinderTemplates","1118","TC_063: POST /V5.0/Lookup/BinderTemplates","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_044: Test post /V7/Binder/SubmitBinder","1303","TC_044: POST /V7/Binder/SubmitBinder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_113: Test post /V7/UTIntegration/SPConnect","1240","TC_113: POST /V7/UTIntegration/SPConnect","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_017: Test post /V7/BinderInfo/GetBinderDetails/{binderId}","1179","TC_017: POST /V7/BinderInfo/GetBinderDetails/{binderId}","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_081: Test post /V5.0/Binder/ChangeBinderStatus","1140","TC_081: POST /V5.0/Binder/ChangeBinderStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_082: Test post /V7/Binder/GetStatus","1127","TC_082: POST /V7/Binder/GetStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_047: Test post /V7/Binder/GetBindersStatusWithStates","1290","TC_047: POST /V7/Binder/GetBindersStatusWithStates","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_005: Test post /V5.0/BinderInfo/GetUnreviewedTRStamps","1188","TC_005: POST /V5.0/BinderInfo/GetUnreviewedTRStamps","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_018: Test post /V7/BinderInfo/GetBinderDetailsByUniqueIdentifier","1209","TC_018: POST /V7/BinderInfo/GetBinderDetailsByUniqueIdentifier","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_036: Test post /V5.0/Binder/GetBindersStatusWithStates","1133","TC_036: POST /V5.0/Binder/GetBindersStatusWithStates","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_102: Test post /V7/TaxCaddyAPI/SendQuestionnaire","1069","TC_102: POST /V7/TaxCaddyAPI/SendQuestionnaire","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_054: Test https://api.sureprep.com/V7/DRLInfo/GetDRLOutput","1152","TC_054: POST test_https_api_sureprep_com_v7_drlinfo_getdrloutput_54","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_089: Test post /V5.0/TaxCaddyAPI/SendQuestionnaire","1070","TC_089: POST /V5.0/TaxCaddyAPI/SendQuestionnaire","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_087: Test post /V5.0/TaxCaddyAPI/GetDRLStatus","1085","TC_087: POST /V5.0/TaxCaddyAPI/GetDRLStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_100: Test post /V7/TaxCaddyAPI/GetDRLStatus","1190","TC_100: POST /V7/TaxCaddyAPI/GetDRLStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_012: Test post /V5.0/BinderInfo/GetDocumentPendingSignatureCount","1025","TC_012: POST /V5.0/BinderInfo/GetDocumentPendingSignatureCount","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_070: Test post /V7/Lookup/TaxSoftwareList","1221","TC_070: POST /V7/Lookup/TaxSoftwareList","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_032: Test post /V5.0/Binder/UploadBinderDocuments","1135","TC_032: POST /V5.0/Binder/UploadBinderDocuments","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_103: Test post /V7/TaxCaddyAPI/SendTaxCaddyInvitation","1096","TC_103: POST /V7/TaxCaddyAPI/SendTaxCaddyInvitation","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_072: Test post /V7/Lookup/BinderTemplateList","1166","TC_072: POST /V7/Lookup/BinderTemplateList","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_051: Test post /V7/Binder/PrintBinder","1174","TC_051: POST /V7/Binder/PrintBinder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_030: Test post /V5.0/Binder/PrintBinder","1097","TC_030: POST /V5.0/Binder/PrintBinder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_026: Test post /V7/BinderInfo/GetDocumentPendingReviewCount","1515","TC_026: POST /V7/BinderInfo/GetDocumentPendingReviewCount","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_094: Test post /V5.0/TaxCaddyAPI/GetMemberDetails","1204","TC_094: POST /V5.0/TaxCaddyAPI/GetMemberDetails","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_015: Test post /V5.0/BinderInfo/GetTaxCaddyDocumentsCount","1111","TC_015: POST /V5.0/BinderInfo/GetTaxCaddyDocumentsCount","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_098: Test post /V7/TaxCaddyAPI/CreateClient","1169","TC_098: POST /V7/TaxCaddyAPI/CreateClient","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_067: Test post /V7/Lookup/ServiceTypes","1391","TC_067: POST /V7/Lookup/ServiceTypes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_010: Test post /V5.0/BinderInfo/GetUnreviewedWorkpapersByL4","1123","TC_010: POST /V5.0/BinderInfo/GetUnreviewedWorkpapersByL4","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_101: Test post /V7/TaxCaddyAPI/SendDRL","1097","TC_101: POST /V7/TaxCaddyAPI/SendDRL","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
